시군구별,연료별,용도별,승용,승합,화물,특수,계
강화군,전기,비사업용,667,0,553,2,1222
강화군,전기,사업용,1374,24,65,0,1463
옹진군,전기,비사업용,140,0,65,0,205
옹진군,전기,사업용,4,2,7,0,13
중구,전기,비사업용,2109,7,280,2,2398
중구,전기,사업용,82,52,153,0,287
동구,전기,비사업용,269,0,91,2,362
동구,전기,사업용,96,0,64,0,160
미추홀구,전기,비사업용,1937,1,460,3,2401
미추홀구,전기,사업용,1288,0,341,0,1629
연수구,전기,비사업용,7529,6,453,3,7991
연수구,전기,사업용,454,103,194,0,751
남동구,전기,비사업용,5881,1,845,6,6733
남동구,전기,사업용,1240,34,320,0,1594
부평구,전기,비사업용,3016,0,468,3,3487
부평구,전기,사업용,909,39,339,0,1287
계양구,전기,비사업용,1292,1,945,6,2244
계양구,전기,사업용,11180,0,235,0,11415
서구,전기,비사업용,6286,9,1235,3,7533
서구,전기,사업용,581,122,520,0,1223
