연료,수소,전기,하이브리드
차종,승용,승합,화물,특수,승용,승합,화물,특수,승용,승합,화물,특수,총합계 
1,중구,23,0,0,0,823,0,34,0,"4,716",0,0,0,"5,596"
2,서구,66,0,0,0,220,1,87,0,"1,225",0,0,0,"1,599"
3,동구,38,0,0,0,"1,726",3,113,0,"3,524",0,0,0,"5,404"
4,영도구,53,0,0,0,243,55,80,0,"1,050",0,0,0,"1,481"
5,부산진구,197,36,0,0,"1,905",18,334,0,"10,013",0,1,0,"12,504"
6,동래구,119,0,0,0,850,13,210,0,"4,599",0,0,0,"5,791"
7,남구,110,0,0,0,863,45,243,0,"4,113",0,0,0,"5,374"
8,북구,147,0,0,0,718,25,324,0,"3,812",0,0,0,"5,026"
9,해운대구,190,0,0,0,"2,931",11,325,1,"10,676",0,1,0,"14,135"
10,사하구,144,0,0,0,676,5,325,0,"3,438",0,0,0,"4,588"
11,금정구,93,0,0,0,752,44,221,0,"3,315",0,0,0,"4,425"
12,강서구,203,0,0,0,"1,583",0,584,0,"3,399",1,0,0,"5,770"
13,연제구,111,0,0,0,"2,229",0,211,0,"12,094",2,0,0,"14,647"
14,수영구,83,0,0,0,628,53,159,2,"9,132",0,0,0,"10,057"
15,사상구,137,0,0,0,550,19,384,0,"2,443",0,0,0,"3,533"
16,기장군,187,0,0,0,"1,012",74,349,2,"3,454",0,1,0,"5,079"
