등록연도,시군구명,연료별,용도별,승용차수,승합차수,특수차수,화물차수
2022,과천시,기타연료,비사업용,1,20,19,42
2022,성남시 수정구,휘발유(무연),비사업용,24959,17,0,12
2022,성남시 수정구,휘발유(무연),사업용,102,0,0,0
2022,성남시 수정구,휘발유(유연),비사업용,18,0,0,0
2022,성남시 중원구,CNG,비사업용,11,0,0,3
2022,동두천시,하이브리드(경유+전기),비사업용,14,0,0,0
2022,동두천시,하이브리드(휘발유+전기),비사업용,1135,0,0,0
2022,동두천시,하이브리드(휘발유+전기),사업용,6,0,0,0
2022,동두천시,휘발유,비사업용,6295,4,0,58
2022,동두천시,휘발유,사업용,4,0,0,1
2022,동두천시,휘발유(무연),비사업용,12606,7,0,14
2022,동두천시,휘발유(무연),사업용,107,0,0,0
2022,동두천시,휘발유(유연),비사업용,10,0,0,0
2022,안산시 상록구,CNG,비사업용,25,4,0,1
2022,안산시 상록구,CNG,사업용,74,26,0,0
2022,안산시 상록구,경유,비사업용,34473,3865,330,17449
2022,안산시 상록구,경유,사업용,323,613,376,2227
2022,안산시 상록구,기타연료,비사업용,0,74,58,357
2022,안산시 상록구,기타연료,사업용,0,0,0,27
2022,안산시 상록구,수소,비사업용,181,0,0,0
2022,안산시 상록구,수소,사업용,2,0,0,0
2022,안산시 상록구,엘피지,비사업용,8659,417,2,699
2022,안산시 상록구,엘피지,사업용,1288,0,0,101
2022,안산시 상록구,전기,비사업용,677,0,0,193
2022,안산시 상록구,전기,사업용,399,0,0,133
2022,안산시 상록구,하이브리드(LPG+전기),비사업용,75,0,0,0
2022,안산시 상록구,하이브리드(경유+전기),비사업용,82,0,0,0
2022,안산시 상록구,하이브리드(경유+전기),사업용,4,0,0,0
2022,안산시 상록구,하이브리드(휘발유+전기),비사업용,5451,0,0,0
2022,안산시 상록구,하이브리드(휘발유+전기),사업용,9,0,0,0
2022,안산시 상록구,휘발유,비사업용,22155,16,0,132
2022,안산시 상록구,휘발유,사업용,30,0,0,0
2022,안산시 상록구,휘발유(무연),비사업용,50544,20,0,28
2022,안산시 상록구,휘발유(무연),사업용,393,0,0,0
2022,안산시 상록구,휘발유(유연),비사업용,54,0,0,0
2022,안산시 단원구,CNG,비사업용,32,3,0,5
2022,안산시 단원구,CNG,사업용,0,437,0,0
2022,안산시 단원구,경유,비사업용,38324,5048,269,21870
2022,안산시 단원구,경유,사업용,130,640,351,3460
2022,안산시 단원구,기타연료,비사업용,0,76,44,360
2022,안산시 단원구,기타연료,사업용,0,0,0,132
2022,안산시 단원구,수소,비사업용,230,0,0,0
2022,안산시 단원구,수소,사업용,21,1,0,0
2022,안산시 단원구,엘피지,비사업용,7880,429,6,681
2022,안산시 단원구,엘피지,사업용,1727,0,0,78
2022,안산시 단원구,전기,비사업용,1109,1,0,262
2022,안산시 단원구,전기,사업용,241,37,0,121
2022,안산시 단원구,하이브리드(CNG+전기),사업용,0,17,0,0
2022,안산시 단원구,하이브리드(LPG+전기),비사업용,99,0,0,0
2022,안산시 단원구,하이브리드(경유+전기),비사업용,112,0,0,0
2022,안산시 단원구,하이브리드(경유+전기),사업용,2,0,0,0
2022,안산시 단원구,하이브리드(휘발유+전기),비사업용,6013,0,0,0
2022,안산시 단원구,하이브리드(휘발유+전기),사업용,34,0,0,0
2022,안산시 단원구,휘발유,비사업용,23130,16,0,124
2022,안산시 단원구,휘발유,사업용,21,0,0,0
2022,안산시 단원구,휘발유(무연),비사업용,55995,34,0,32
2022,안산시 단원구,휘발유(무연),사업용,278,0,0,0
2022,안산시 단원구,휘발유(유연),비사업용,63,0,0,1
2022,고양시 덕양구,CNG,비사업용,20,4,0,11
2022,고양시 덕양구,CNG,사업용,0,72,0,0
2022,고양시 덕양구,경유,비사업용,43933,3914,295,17552
2022,고양시 덕양구,경유,사업용,80,224,230,2067
2022,고양시 덕양구,기타연료,비사업용,1,103,77,415
2022,고양시 덕양구,기타연료,사업용,0,0,0,34
2022,고양시 덕양구,수소,비사업용,182,0,0,0
2022,고양시 덕양구,수소,사업용,3,0,0,0
2022,고양시 덕양구,엘피지,비사업용,10111,577,6,1000
2022,고양시 덕양구,엘피지,사업용,936,0,0,171
2022,고양시 덕양구,전기,비사업용,1462,0,2,289
2022,화성시,엘피지,사업용,1812,4,0,239
2022,화성시,전기,비사업용,3973,12,15,581
2022,포천시,경유,사업용,94,640,382,2438
2022,포천시,기타연료,비사업용,0,56,54,270
2022,포천시,기타연료,사업용,0,0,0,210
2022,포천시,수소,비사업용,7,0,0,0
2022,포천시,엘피지,비사업용,4603,278,2,577
2022,포천시,엘피지,사업용,2417,2,0,34
2022,포천시,전기,비사업용,450,0,0,231
2022,포천시,전기,사업용,62,3,0,63
2022,포천시,하이브리드(CNG+전기),사업용,0,1,0,0
2022,포천시,하이브리드(LPG+전기),비사업용,46,0,0,0
2022,포천시,하이브리드(경유+전기),비사업용,45,0,0,0
2022,포천시,하이브리드(휘발유+전기),비사업용,2468,0,0,1
2022,포천시,하이브리드(휘발유+전기),사업용,754,0,0,0
2022,포천시,휘발유,비사업용,11889,18,0,119
2022,포천시,휘발유,사업용,130,0,0,0
2022,포천시,휘발유(무연),비사업용,25656,14,0,26
2022,포천시,휘발유(무연),사업용,2030,0,0,0
2022,포천시,휘발유(유연),비사업용,22,0,0,0
2022,여주시,CNG,비사업용,4,1,0,0
2022,여주시,CNG,사업용,0,13,0,0
2022,여주시,경유,비사업용,15444,1993,247,13096
2022,여주시,경유,사업용,24,696,361,5617
2022,여주시,기타연료,비사업용,0,71,26,311
2022,광명시,휘발유(무연),사업용,152,0,0,0
2022,광명시,휘발유(유연),비사업용,36,0,0,0
2022,평택시,CNG,비사업용,37,5,0,10
2022,평택시,CNG,사업용,0,178,0,0
2022,평택시,LNG,사업용,0,0,2,0
2022,평택시,경유,비사업용,76066,7440,606,32130
2022,평택시,경유,사업용,362,1786,968,4904
2022,평택시,기타연료,비사업용,86,269,205,1246
2022,평택시,기타연료,사업용,0,0,4,1794
2022,평택시,수소,비사업용,855,0,0,0
2022,평택시,수소,사업용,5,10,0,0
2022,평택시,알코올,비사업용,1,0,0,0
2022,평택시,엘피지,비사업용,17233,689,10,1181
2022,평택시,엘피지,사업용,2387,4,0,92
2022,평택시,전기,비사업용,1751,0,0,473
2022,평택시,전기,사업용,81,44,0,189
2022,평택시,태양열,비사업용,2,0,0,0
2022,평택시,하이브리드(LPG+전기),비사업용,188,0,0,0
2022,평택시,하이브리드(경유+전기),비사업용,201,0,0,0
2022,평택시,하이브리드(경유+전기),사업용,19,0,0,0
2022,평택시,하이브리드(휘발유+전기),비사업용,13288,0,0,2
2022,평택시,하이브리드(휘발유+전기),사업용,30,0,0,0
2022,평택시,휘발유,비사업용,54300,33,4,459
2022,평택시,휘발유,사업용,56,1,1,0
2022,평택시,휘발유(무연),비사업용,106730,51,0,81
2022,평택시,휘발유(무연),사업용,631,0,0,0
2022,평택시,휘발유(유연),비사업용,125,0,0,0
2022,동두천시,CNG,비사업용,4,0,0,2
2022,동두천시,CNG,사업용,0,16,0,0
2022,동두천시,경유,비사업용,9172,1195,86,5079
2022,동두천시,경유,사업용,54,53,50,585
2022,동두천시,기타연료,비사업용,5,20,15,98
2022,동두천시,기타연료,사업용,0,0,0,1
2022,동두천시,수소,비사업용,3,0,0,0
2022,동두천시,엘피지,비사업용,2714,173,0,225
2022,동두천시,엘피지,사업용,559,1,0,10
2022,동두천시,전기,비사업용,266,0,0,139
2022,동두천시,전기,사업용,26,0,0,43
2022,동두천시,하이브리드(LPG+전기),비사업용,20,0,0,0
2022,이천시,전기,사업용,30,3,0,109
2022,이천시,하이브리드(LPG+전기),비사업용,50,0,0,0
2022,이천시,하이브리드(경유+전기),비사업용,81,0,0,0
2022,이천시,하이브리드(경유+전기),사업용,1,0,0,0
2022,이천시,하이브리드(휘발유+전기),비사업용,4391,0,0,2
2022,이천시,하이브리드(휘발유+전기),사업용,3,0,0,0
2022,이천시,휘발유,비사업용,17388,15,1,183
2022,이천시,휘발유,사업용,9,0,3,0
2022,이천시,휘발유(무연),비사업용,40539,23,0,31
2022,이천시,휘발유(무연),사업용,171,0,0,0
2022,이천시,휘발유(유연),비사업용,49,0,0,0
2022,안성시,CNG,비사업용,19,3,0,3
2022,안성시,CNG,사업용,0,44,0,0
2022,안성시,경유,비사업용,24876,2973,731,17354
2022,안성시,경유,사업용,78,399,281,3118
2022,안성시,기타연료,비사업용,0,98,68,379
2022,안성시,기타연료,사업용,0,0,0,109
2022,안성시,수소,비사업용,208,0,0,0
2022,안성시,엘피지,비사업용,7228,267,2,633
2022,안성시,엘피지,사업용,557,1,0,79
2022,안성시,전기,비사업용,664,0,0,300
2022,안성시,전기,사업용,22,18,0,70
2022,안성시,하이브리드(LPG+전기),비사업용,61,0,0,0
2022,안성시,하이브리드(경유+전기),비사업용,67,0,0,0
2022,안성시,하이브리드(경유+전기),사업용,1,0,0,0
2022,안성시,하이브리드(휘발유+전기),비사업용,3434,0,0,1
2022,안성시,하이브리드(휘발유+전기),사업용,2,0,0,0
2022,안성시,휘발유,비사업용,16497,10,0,156
2022,안성시,휘발유,사업용,16,0,2,0
2022,안성시,휘발유(무연),비사업용,34895,19,0,24
2022,안성시,휘발유(무연),사업용,73,0,0,0
2022,안성시,휘발유(유연),비사업용,32,0,0,0
2022,김포시,CNG,비사업용,46,1,0,4
2022,김포시,CNG,사업용,0,490,0,0
2022,김포시,경유,비사업용,56816,4851,426,27855
2022,김포시,경유,사업용,259,904,712,3302
2022,김포시,기타연료,비사업용,2,181,180,684
2022,김포시,기타연료,사업용,0,1,0,275
2022,김포시,수소,비사업용,213,0,0,0
2022,김포시,수소,사업용,10,0,0,0
2022,김포시,엘피지,비사업용,11305,571,7,1028
2022,김포시,엘피지,사업용,901,1,3,173
2022,김포시,전기,비사업용,2443,35,0,698
2022,김포시,전기,사업용,379,169,0,410
2022,김포시,하이브리드(CNG+전기),사업용,0,5,0,0
2022,김포시,하이브리드(LPG+전기),비사업용,121,0,0,0
2022,김포시,하이브리드(경유+전기),비사업용,279,0,0,0
2022,김포시,하이브리드(경유+전기),사업용,20,0,0,0
2022,김포시,하이브리드(휘발유+전기),비사업용,11290,0,0,0
2022,김포시,하이브리드(휘발유+전기),사업용,70,0,0,0
2022,김포시,휘발유,비사업용,39761,25,3,238
2022,김포시,휘발유,사업용,65,2,1,0
2022,김포시,휘발유(무연),비사업용,74781,29,1,37
2022,김포시,휘발유(무연),사업용,491,0,0,0
2022,김포시,휘발유(유연),비사업용,90,0,0,0
2022,화성시,CNG,비사업용,55,6,0,11
2022,화성시,CNG,사업용,0,273,0,0
2022,화성시,경유,비사업용,117972,9580,1026,57197
2022,화성시,경유,사업용,237,2326,579,6609
2022,화성시,기타연료,비사업용,2,517,509,1798
2022,화성시,기타연료,사업용,0,0,0,236
2022,화성시,수소,비사업용,1195,0,0,0
2022,화성시,수소,사업용,1,0,0,0
2022,화성시,엘피지,비사업용,23154,896,11,1562
2022,용인시 기흥구,하이브리드(LPG+전기),사업용,1,0,0,0
2022,용인시 기흥구,하이브리드(경유+전기),비사업용,227,0,0,0
2022,용인시 기흥구,하이브리드(경유+전기),사업용,6,0,0,0
2022,용인시 기흥구,하이브리드(휘발유+전기),비사업용,11856,0,0,0
2022,용인시 기흥구,하이브리드(휘발유+전기),사업용,21,0,0,0
2022,용인시 기흥구,휘발유,비사업용,38635,11,0,147
2022,용인시 기흥구,휘발유,사업용,76,1,0,0
2022,용인시 기흥구,휘발유(무연),비사업용,67018,31,0,25
2022,용인시 기흥구,휘발유(무연),사업용,363,0,0,0
2022,용인시 기흥구,휘발유(유연),비사업용,81,0,0,0
2022,용인시 수지구,CNG,비사업용,16,0,0,0
2022,용인시 수지구,경유,비사업용,36786,1667,122,4271
2022,용인시 수지구,경유,사업용,65,197,33,1279
2022,용인시 수지구,기타연료,비사업용,0,128,90,291
2022,용인시 수지구,기타연료,사업용,0,0,0,3
2022,용인시 수지구,수소,비사업용,122,0,0,0
2022,용인시 수지구,엘피지,비사업용,5590,232,5,255
2022,용인시 수지구,엘피지,사업용,387,0,0,50
2022,용인시 수지구,전기,비사업용,1891,2,1,59
